IE_XML_ID;IE_NAME;CP_QUANTITY;CV_PRICE_1
5813;Lira P-510H;0;0.00
5803;Lira P-580UV;0;0.00
4869;Alinco DJ-V47;0;0.00
4820;Alinco DJ-V17L;0;0.00
4814;Alinco DJ-V17;0;0.00
4791;Alinco DJ-S45CQ;0;0.00
4764;Alinco DJ-S45TA;0;0.00
4699;Hytera X1e G (MD);0;0.00
4646;Hytera PD705 (MD);0;580.00
4575;Alinco DJ-C7;0;0.00
4566;Alinco DJ-175;0;0.00
4348;Midland G-14;0;0.00
4347;Midland G-10;0;0.00
4346;Midland G-3;0;0.00
4345;Midland GXT-1050;0;0.00
4344;Midland GXT 900;0;0.00
4343;Midland GXT 650;0;0.00
4342;Midland G6XT;0;0.00
4339;АРГУТ А-75;0;0.00
4337;АРГУТ А-53;0;0.00
4336;АРГУТ А-45;0;0.00
4335;АРГУТ А-44;0;0.00
4332;АРГУТ А-24 NEW;0;0.00
4329;Ajetrays AJ-150;0;0.00
4258;Ajetrays AJ-344U;0;0.00
4257;Ajetrays AJ-444;0;0.00
4256;Ajetrays AJ-450;0;0.00
4255;Ajetrays AJ-434;0;0.00
4252;Ajetrays AJ-344V;0;0.00
4244;Hytera X1e G;0;0.00
4239;Ajetrays AJ-144;0;0.00
4173;Roger KP-60;0;0.00
4171;Roger KP-55;0;0.00
4170;Roger KP-47;0;0.00
4168;Roger KP-23;0;0.00
4166;Roger KP-16;0;0.00
4164;Roger KP-15;0;0.00
4150;Roger KP-14;0;0.00
4106;Kenwood TK-2140;0;0.00
4103;Kenwood TK-2180E;0;0.00
4098;Kenwood TK-3180E;0;0.00
4097;Kenwood TK-2212;0;0.00
4094;Kenwood TK-2306;0;0.00
4093;Kenwood TK-3306NM;0;0.00
4074;Kenwood TK-2307;0;0.00
4054;Kenwood TK-3307M2;0;0.00
4050;Kenwood TK-3301E;0;0.00
4010;Yaesu VX-3R;0;0.00
4007;Yaesu FT-252;0;0.00
3995;Yaesu VX-7R;0;
3993;Yaesu VX-170 / VX-177;0;0.00
3992;Yaesu VX-120;0;0.00
3991;Yaesu VX-150;0;0.00
3990;Yaesu VX-110;0;0.00
3989;Yaesu VX-8R;0;0.00
3839;Vector VT-44 Military Special;0;0.00
3837;Vector VT-44 Military #01;0;0.00
3836;Vector VT-44 STD;0;0.00
3833;Vector VT-44 Master;0;0.00
3832;Vector VT-47 ULTRA;0;0.00
3831;Vector VT-47 PILOT;0;0.00
3830;Vector VT-47 M2;0;0.00
3829;Vector VT-47 SPORT;0;0.00
3828;Vector VT-48 W;0;0.00
3827;Vector VT-48 GT;0;0.00
3825;Vector VT-43 R2;0;0.00
3824;Vector VT-44 Combat;0;0.00
3820;Vertex Standard VX-351;0;0.00
3819;Vertex Standard VX-354;0;0.00
3818;Vertex Standard VX-821E;0;0.00
3817;Vertex Standard VX-824E;0;0.00
3816;Vertex Standard VX-829E;0;0.00
3815;Vertex Standard VX-921E;0;0.00
3814;Vertex Standard VX-924E;0;0.00
3813;Vertex Standard VX-929E;0;0.00
3810;Vertex Standard VX-417;0;0.00
3807;Vertex Standard VX-231;0;0.00
3806;Vertex Standard VX-451;0;0.00
3805;Vertex Standard VX-454;0;0.00
3804;Vertex Standard VX-459;0;0.00
3797;Vertex Standard EVX-539;0;0.00
3796;Vertex Standard EVX-534;0;0.00
3795;Vertex Standard EVX-531;0;0.00
3769;Motorola GP680 ATEX;0;0.00
3768;Motorola GP380 ATEX;0;0.00
3767;Motorola GP340 ATEX;0;0.00
3766;Motorola P040;0;0.00
3765;Motorola P030;0;0.00
3758;Motorola SL4010;0;0.00
3757;Motorola DP3441;0;0.00
3756;Motorola DP4801;0;0.00
3755;Motorola DP4601;0;0.00
3754;Motorola DP4400;0;0.00
3753;Motorola DP2400;0;0.00
